Column1;Column2;Column3;Column4
Polyphite;Na6(Na4Ca2)2Na2Ti4+2Na2Ti4+2(Si2O7)2(PO4)6O4F4;Na Ca Ti Si O P F;triclinic
Pomite;Ca3[V4+5V5+10O37(CO3)]·37H2O;Ca V O C H;triclinic
Ponomarevite;K4Cu2+4OCl10;K Cu O Cl;monoclinic
Popovite;Cu2+5O2(As5+O4)2;Cu O As;triclinic
Poppiite;Ca2V3+V3+2(Si2O7)(SiO4)(OH,O)2·H2O;Ca V Si O H;monoclinic
Popugaevaite;Ca3[B5O6(OH)6]FCl2·8H2O;Ca B O H F Cl;monoclinic
Portlandite;Ca(OH)2;Ca O H;hexagonal
Po?epn?ite;"(Cu+13+x[box]3-x)(Hg2+4-xCu+12+x)Sb3+4(Se2-12.5[box]0.5)  (0 ? x &lt;&lt; 2)";Cu Hg Sb Se;cubic
Posnjakite;Cu2+4S6+O4(OH)6·H2O;Cu S O H;monoclinic
Postite;MgAl2(OH)2[V5+10O28]·27H2O;Mg H O Al V;orthorhombic
Potarite;PdHg;Pd Hg;tetragonal
Potassic-arfvedsonite;KNa2Fe2+4Fe3+Si8O22(OH)2;K Na Fe Si O H;monoclinic
Potassiccarpholite;K(Mn2+,Li)2Al4Si4O12(OH,F)8;K Mn Li Al Si O H F;orthorhombic
Potassic-chloro-hastingsite;KCa2(Fe2+4Fe3+)(Si6Al2)O22Cl2;K Ca Fe Si Al O Cl;monoclinic
Potassic-chloro-pargasite;KCa2(Mg4Al)(Si6Al2)O22Cl2;K Ca Mg Al Si O Cl;monoclinic
Potassic-ferri-leakeite;KNa2(Mg2Fe3+2Li)Si8O22(OH)2;K Na Mg Fe Li Si O H;monoclinic
Potassic-ferro-ferri-sadanagaite;KCa2(Fe2+3Fe3+2)(Si5Al3)O22(OH)2;K Ca Fe Si Al O H;monoclinic
Potassic-ferro-ferri-taramite;K(NaCa)(Fe2+3Fe3+2)(Si6Al2)O22(OH)2;K Na Ca Fe Si Al O H;
Potassic-ferro-pargasite;KCa2(Fe2+4Al)Si6Al2O22(OH)2;K Ca Fe Al Si O H;monoclinic
Potassic-ferro-sadanagaite;KCa2(Fe2+3Al2)(Si5Al3)O22(OH)2;K Ca Fe Al Si O H;
Potassic-ferro-taramite;K(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2;K Na Ca Fe Al Si O H;monoclinic
Potassic-fluoro-hastingsite;KCa2(Fe2+4Fe3+)(Si6Al2)O22F2;K Ca Fe Si Al O F;monoclinic
Potassic-fluoro-pargasite;KCa2(Mg4Al)Si6Al2O22F2;K Ca Mg Al Si O F;monoclinic
Potassic-fluoro-richterite;K(NaCa)Mg5Si8O22F2;K Na Ca Mg Si O F;monoclinic
Potassic-hastingsite;KCa2(Fe2+4Fe3+)(Si6Al2)O22(OH)2;K Ca Fe Si Al O H;monoclinic
Potassic-jeanlouisite;K(NaCa)(Mg4Ti4+)Si8O22O2;K Na Ca Mg Ti Si O;monoclinic
Potassic-magnesio-arfvedsonite;KNa2Mg4Fe3+Si8O22(OH)2;K Na Mg Fe Si O H;monoclinic
Potassic-magnesio-fluoro-arfvedsonite;KNa2(Mg4Fe3+)Si8O22F2;K Na Mg Fe Si O F;monoclinic
Potassic-magnesio-hastingsite;KCa2(Mg4Fe3+)(Si6Al2)O22(OH)2;K Ca Mg Fe Si Al O H;monoclinic
Potassic-mangani-leakeite;KNa2(Mg2Mn3+2Li)Si8O22(OH)2;K Na Mg Mn Li Si O H;
Potassic-pargasite;KCa2(Mg4Al)(Si6Al2)O22(OH)2;K Ca Mg Al Si O H;monoclinic
Potassic-richterite;K(NaCa)Mg5Si8O22(OH)2;K Na Ca Mg Si O H;monoclinic
Potassic-sadanagaite;KCa2Mg3Al2(Si5Al3)O22(OH)2;K Ca Mg Al Si O H;monoclinic
Pottsite;(Pb2+3Bi3+)Bi3+(V5+O4)4·H2O;Pb Bi V O H;tetragonal
Poubaite;Pb2+Bi3+2(Se2-,Te2-,S2-)4;Pb Bi Se Te S;hexagonal
Poudretteite;KNa2(B3Si12)O30;K Na B Si O;hexagonal
Poughite;Fe3+2(Te4+O3)2S6+O4·3H2O;Fe Te O S H;orthorhombic
Povondraite;NaFe3+3(Fe3+4Mg2)(Si6O18)(BO3)3(OH)3O;Na Fe Mg Si O B H;hexagonal
Powellite;CaMo6+O4;Ca Mo O;tetragonal
Poyarkovite;Hg1+3OCl;Hg O Cl;monoclinic
Pracha?ite;CaSb5+2(As3+2O5)2O2·10H2O;Ca Sb As O H;hexagonal
Pradetite;Co2+Cu2+4(As5+O4)2(As5+O3OH)2·9H2O;Co Cu As O H;triclinic
Prehnite;Ca2Al(Si3Al)O10(OH)2;Ca Al Si O H;orthorhombic
Preisingerite;Bi3+3O(As5+O4)2(OH);Bi O As H;triclinic
Preiswerkite;NaAlMg2(Si2Al2)O10(OH)2;Na Al Mg Si O H;monoclinic
Preobrazhenskite;Mg3B11O15(OH)9;Mg B O H;orthorhombic
Pretulite;ScPO4;Sc P O;tetragonal
Prewittite;KPb2+1.5Zn2+Cu2+6O2(Se4+O3)2Cl10;K Pb Zn Cu O Se Cl;orthorhombic
P??bramite;Cu1+Sb3+Se2-2;Cu Sb Se;orthorhombic
Priceite;Ca2B5O7(OH)5·H2O;Ca B O H;monoclinic
Priderite;K(Ti4+7Fe3+)O16;K Ti Fe O;tetragonal
Princivalleite;Na(Mn2+2Al)Al6(Si6O18)(BO3)3(OH)3O;Na Mn Al Si O B H;hexagonal
Pringleite;Ca9B26O34(OH)24Cl4·13H2O;Ca B O H Cl;triclinic
Priscillagrewite-(Y);YCa2Zr4+2Al3O12;Y Ca Zr Al O;cubic
Prismatine;(Mg,Al,Fe2+,Fe3+)6Al4(Si,Al)4(B,Si,Al)(O,OH,F)22;Mg Al Fe Si B O H F;orthorhombic
Probertite;NaCaB5O7(OH)4·3H2O;Na Ca B O H;monoclinic
Proshchenkoite-(Y);(Y,REE,Ca,Na,Mn2+)15Fe2+Ca(P,Si)Si6B3(O,F)48;Y REE Ca Na Mn Fe P Si B O F;hexagonal
Prosopite;CaAl2F4(OH)4;Ca Al F O H;monoclinic
Prosperite;Ca2Zn2+4(As5+O4)4·H2O;Ca Zn As O H;monoclinic
Protasite;Ba(U6+O2)3O3(OH)2·3H2O;Ba U O H;monoclinic
Proto-anthophyllite;Mg7Si8O22(OH)2;Mg Si O H;orthorhombic
Protocaseyite;[Al4(OH)6(H2O)12][V5+10O28]·8H2O;Al O H V;triclinic
Protochabourn?ite;Tl1+4-xPb2+2+2xSb3+20-x-yAs3+yS2-34 (with 0.02 ? x ? 0.34, 5.71 ? y ? 6.69);Tl Pb Sb As S;triclinic
Protoenstatite;Mg2Si2O6;Mg Si O;orthorhombic
Proto-ferro-anthophyllite;Fe2+7Si8O22(OH)2;Fe Si O H;orthorhombic
Proto-ferro-suenoite;[box]Mn2+2Fe2+5Si8O22(OH)2;Mn Fe Si O H;orthorhombic
Proto-owyheeite;Ag1+9Pb2+40Sb3+45S2-112;Ag Pb Sb S;monoclinic
Proudite;Cu1+2Pb2+16Bi3+20(S2-,Se2-)47;Cu Pb Bi S Se;monoclinic
Proustite;Ag1+3As3+S2-3;Ag As S;hexagonal
Proxidecagonite;Al34Ni9Fe2;Al Ni Fe;orthorhombic
Proxitwelvefoldite;Pd3Ni4Te8;Pd Ni Te;tetragonal
Przhevalskite;Pb2+(U6+O2)2(PO4)2·4H2O;Pb U O P H;
Pseudoboleite;Pb2+31Cu2+24Cl62(OH)48;Pb Cu Cl O H;tetragonal
Pseudobrookite;(Fe3+2Ti4+)O5;Fe Ti O;orthorhombic
Pseudocotunnite;K2Pb2+Cl4;K Pb Cl;
Pseudodickthomssenite;Mg(V5+O3)2·8H2O;Mg V O H;triclinic
Pseudograndreefite;Pb2+6(S6+O4)F10;Pb S O F;orthorhombic
Pseudojohannite;Cu2+3(U6+O2)4O4(S6+O4)2(OH)2·12H2O;Cu O H U S;triclinic
Pseudolaueite;Mn2+Fe3+2(PO4)2(OH)2·8H2O;Mn Fe P O H;monoclinic
Pseudolyonsite;Cu2+3(V5+O4)2;Cu V O;monoclinic
Pseudomalachite;Cu2+5(PO4)2(OH)4;Cu P O H;monoclinic
Pseudomarkeyite;Ca8(U6+O2)4(CO3)12(H2O)18·3H2O;Ca U O C H;monoclinic
Pseudomeisserite-(NH_4_);(N3-H4)2Na4[(U6+O2)2(S6+O4)5]·4H2O;N H Na U O S;monoclinic
Pseudomertieite;Pd5+x(Sb,As)2-x (x = 0.1-0.2);Pd Sb As;monoclinic
Pseudopomite;Ca3.5[V4+6V5+9O37(CO3)]·32H2O;Ca V O C H;triclinic
Pseudorutile;Fe3+2Ti4+3O9;Fe Ti O;hexagonal
Pseudosinhalite;Mg2Al3B2O9(OH);Mg Al B O H;monoclinic
Pseudowollastonite;CaSiO3;Ca Si O;monoclinic|triclinic
Pucherite;Bi3+V5+O4;Bi V O;orthorhombic
Pumpellyite-(Al);Ca2Al3(SiO4)(Si2O7)(OH,O)2·H2O;Ca Al Si O H;monoclinic
Pumpellyite-(Fe^2+^);Ca2Fe2+Al2(SiO4)(Si2O7)(OH)2·H2O;Ca Fe Al Si O H;monoclinic
Pumpellyite-(Fe^3+^);Ca2Fe3+Al2(SiO4)(Si2O7)(OH,O)2·H2O;Ca Fe Al Si O H;monoclinic
Pumpellyite-(Mg);Ca2MgAl2(SiO4)(Si2O7)(OH)2·H2O;Ca Mg Al Si O H;monoclinic
Pumpellyite-(Mn^2+^);Ca2Mn2+Al2(SiO4)(Si2O7)(OH)2·H2O;Ca Mn Al Si O H;monoclinic
Puninite;Na2Cu2+3O(S6+O4)3;Na Cu O S;monoclinic
Punkaruaivite;LiTi4+2Si4O11(OH)3·H2O;Li Ti O H Si;monoclinic
Purpurite;Mn3+[box]PO4;Mn P O;orthorhombic
Puschridgeite;Mn2+(C2H3O3)1-2(H2O)2;Mn C H O;monoclinic
Pushcharovskite;K0.6Cu2+18[As5+O2(OH)2]4[As5+O3OH]10(As5+O4)(OH)9.6·18.6H2O;K Cu As O H;triclinic
Putnisite;SrCa4Cr3+8(CO3)8S6+O4(OH)16·25H2O;Sr Ca Cr C O S H;orthorhombic
Putoranite;Cu1.1Fe1.2S2;Cu Fe S;cubic
Puttapaite;Pb2+2Mn2+2Zn2+Cr3+4O2(As5+O4)4(OH)6·12H2O;Pb Mn Zn Cr O As H;monoclinic
Putzite;(Cu1+,Ag1+)8Ge4+S2-6;Cu Ag Ge S;cubic
Pyatenkoite-(Y);Na5YTi4+Si6O18·6H2O;Na Y Ti Si O H;hexagonal
Pyracmonite;(N3-H4)3Fe3+(S6+O4)3;N H Fe S O;monoclinic|hexagonal
Pyradoketosite;Ag1+3Sb3+S2-3;Ag Sb S;monoclinic
Pyrargyrite;Ag1+3Sb3+S2-3;Ag Sb S;hexagonal
Pyrite;Fe2+(S2)2-;Fe S;triclinic|cubic
Pyroaurite;Mg6Fe3+2(OH)16CO3·4H2O;Mg Fe O H C;hexagonal
Pyrobelonite;Pb2+Mn2+V5+O4(OH);Pb Mn V O H;orthorhombic
Pyrochroite;Mn2+(OH)2;Mn O H;hexagonal
Pyrolusite;Mn4+O2;Mn O;tetragonal
Pyromorphite;Pb2+5(PO4)3Cl;Pb P O Cl;hexagonal
Pyrope;Mg3Al2(SiO4)3;Mg Al Si O;cubic
Pyrophanite;Mn2+Ti4+O3;Mn Ti O;hexagonal|tetragonal
Pyrophyllite;Al2Si4O10(OH)2;Al Si O H;triclinic|monoclinic
Pyrosmalite-(Fe);Fe2+8Si6O15(OH)10;Fe Si O H;hexagonal
Pyrosmalite-(Mn);Mn2+8Si6O15(OH,Cl)10;Mn Si O H Cl;hexagonal
Pyrostilpnite;Ag1+3Sb3+S2-3;Ag Sb S;monoclinic
Pyroxferroite;Fe2+SiO3;Fe Si O;triclinic
Pyroxmangite;Mn2+SiO3;Mn Si O;triclinic
Pyrrhotite;Fe2+5Fe3+2S2-8;Fe S;hexagonal|orthorhombic, monoclinic
Qandilite;(Mg,Fe3+)2(Ti4+,Fe3+,Al)O4;Mg Fe Ti Al O;tetragonal|cubic
Qaqarssukite-(Ce);BaCe3+(CO3)2F;Ba Ce C O F;hexagonal
Qatranaite;CaZn2+2(OH)6(H2O)2;Ca Zn O H;monoclinic
Qeltite;Ca3Ti4+Si2(Fe3+2Si)O14;Ca Ti Si Fe O;hexagonal
Qilianshanite;NaH4(CO3)(BO3)·2H2O;Na H C O B;monoclinic
Qingheiite;NaNaMn2+(MgAl)(PO4)3;Na Mn Mg Al P O;monoclinic
Qingsongite;BN3-;B N;cubic
Qitianlingite;Fe2+2Nb5+2W6+O10;Fe Nb W O;orthorhombic
Qiumingite;Pb2+3(Zn2+2Fe3+)Sb5+P2O14;Pb Zn Fe Sb P O;hexagonal
Quadratite;Ag1+Cd2+As3+S2-3;Ag Cd As S;tetragonal
Quadridavyne;[(Na,K)6Cl2][Ca2Cl2][(Si6Al6O24)];Na K Cl Ca Si Al O;hexagonal
Quadruphite;Na6Na2(CaNa)2Na2Ti4+2Na2Ti4+2(Si2O7)2(PO4)4O4F2;Na Ca Ti Si O P F;triclinic
Quartz;SiO2;Si O;hexagonal
Quatrandorite;Ag1+Pb2+Sb3+3S2-6;Ag Pb Sb S;monoclinic|orthorhombic
Queitite;Zn2+2Pb2+4(SiO4)(Si2O7)(S6+O4);Zn Pb Si O S;monoclinic
Quenselite;Pb2+Mn3+O2(OH);Pb Mn O H;monoclinic
Quenstedtite;Fe3+2(S6+O4)3·11H2O;Fe S O H;triclinic
Quetzalcoatlite;Cu2+3Zn2+6Te6+2O12(OH)6·(Ag1+,Pb2+,[box])Cl;Cu Zn Te O H Ag Pb Cl;hexagonal
Quijarroite;Cu1+6Hg2+Pb2+2Bi3+4Se2-12;Cu Hg Pb Bi Se;orthorhombic
Quintinite;Mg4Al2(OH)12CO3·3H2O;Mg Al O H C;hexagonal
Qusongite;W4+C4-;W C;hexagonal
Raadeite;Mg7(PO4)2(OH)8;Mg P O H;monoclinic
Rabbittite;Ca3Mg3(U6+O2)2(CO3)6(OH)4·18H2O;Ca Mg U O C H;monoclinic
Rabejacite;Ca2(U6+O2)4O4(S6+O4)2·8H2O;Ca U O S H;orthorhombic
Raberite;Tl1+5Ag1+4As3+6Sb3+S2-15;Tl Ag As Sb S;triclinic
Radek?kodaite-(Ce);(CaCe3+5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3;Ca Ce Al Fe Si O H;monoclinic
Radek?kodaite-(La);(CaLa5)(Al4Fe2+)[Si2O7][SiO4]5O(OH)3;Ca La Al Fe Si O H;monoclinic
Radhakrishnaite;PbTe3(Cl,S)2;Pb Te Cl S;tetragonal
Radovanite;Cu2+2Fe3+(As5+O4)(As3+O2OH)2·H2O;Cu Fe As O H;orthorhombic
Radtkeite;Hg2+3S2-2ClI1-;Hg S Cl I;monoclinic
Radvaniceite;GeS2-2;Ge S;monoclinic
Raguinite;Tl1+Fe3+S2-2;Tl Fe S;monoclinic
Raisaite;Cu2+Mg[Te6+O4(OH)2]·6H2O;Cu Mg Te O H;monoclinic
Raite;Na3Mn2+3Ti4+0.25Si8O20(OH)2·10H2O;Na Mn Ti Si O H;monoclinic
Rajite;Cu2+Te4+2O5;Cu Te O;monoclinic
Rakovanite;(N3-H4)3Na3[V5+10O28]·12H2O;N H Na V O;monoclinic
Ralphcannonite;Ag1+Zn2+2Tl1+As3+2S2-6;Ag Zn Tl As S;tetragonal
Ramaccioniite;Cu2+4[Se6+O4](OH)6;Cu Se O H;monoclinic
Ramanite-(Cs);CsB5O6(OH)4·2H2O;Cs B O H;monoclinic
Ramanite-(Rb);RbB5O6(OH)4·2H2O;Rb B O H;orthorhombic
Ramazzoite;[Mg8Cu2+12(PO4)(CO3)4(OH)24(H2O)20][(H0.33S6+O4)3(H2O)36];Mg Cu P O C H S;cubic
Rambergite;Mn2+S2-;Mn S;hexagonal
Ramdohrite;Pb2+5.9Fe2+0.1Mn2+0.1In3+0.1Cd2+0.2Ag1+2.8Sb3+10.8S2-24;Pb Fe Mn In Cd Ag Sb S;monoclinic|orthorhombic
Rameauite;K2Ca(U6+O2)6O6(OH)4·6H2O;K Ca U O H;monoclinic
Ramikite-(Y);Li2Na6(Y,Ca,REE)3Zr4+3(PO4)6(CO3)2O2(OH,F)2;Li Na Ca Y REE Zr P O C H F;triclinic
Rammelsbergite;Ni3+(As2)3-;Ni As;orthorhombic
Ramosite;Pb2+25.7Sn4+8.3Mn2+3.4Sb3+6.4S2-56.2;Pb Sn Mn Sb S;monoclinic
Ramsbeckite;Cu2+15(S6+O4)4(OH)22·6H2O;Cu S O H;monoclinic
Ramsdellite;Mn4+O2;Mn O;orthorhombic
Ranci?ite;(Ca,Mn2+)0.2(Mn4+,Mn3+)O2·0.6H2O;Ca Mn O H;hexagonal
Rankachite;Ca0.5(V4+,V5+)(W6+,Fe3+)2O8(OH)·2H2O;Ca V W Fe O H;monoclinic|orthorhombic
Rankamaite;(Na,K)3(Ta5+,Nb5+,Al)11(O,OH)31;Na K Ta Nb Al O H;orthorhombic
Rankinite;Ca3Si2O7;Ca Si O;monoclinic
Ransomite;Cu2+Fe3+2(S6+O4)4·6H2O;Cu Fe S O H;monoclinic
Ranunculite;Al(U6+O2)(PO3OH)(OH)3·4H2O;Al U O P H;monoclinic
Rapidcreekite;Ca2(S6+O4)(CO3)·4H2O;Ca S O C H;orthorhombic
Rappoldite;Pb2+Co2+2(As5+O4)2·2H2O;Pb Co As O H;triclinic
Raslakite;Na15Ca3Fe2+3(Na,Zr4+)3Zr4+3(Si,Nb5+)Si25O73(OH,H2O)3(Cl,OH);Na Ca Fe Zr Si Nb O H Cl;hexagonal
Rasmussenite;Ca(C2H3O3)1-2·3H2O;Ca C H O;triclinic
Raspite;Pb2+W6+O4;Pb W O;monoclinic
Rastsvetaevite;Na27K8Ca12Fe2+3Zr4+6Si52O144(OH,O)6Cl2;Na K Ca Fe Zr Si O H Cl;hexagonal
Rasvumite;KFe2+Fe3+S2-3;K Fe S;orthorhombic
Rathite;Ag1+2Pb2+12-xTl1+x/2As3+18+x/2S2-40;Ag Pb Tl As S;monoclinic
Rathite-IV;Pb3As5S10;Pb As S;
Rauchite;Ni2+(U6+O2)2(As5+O4)2·10H2O;Ni U O As H;triclinic
Rauenthalite;Ca3(As5+O4)2·10H2O;Ca As O H;triclinic
Rauvite;Ca(U6+O2)2V5+10O28·16H2O;Ca U O V H;
Ravatite;C14H10;C H;monoclinic
Raydemarkite;Mo6+O3·H2O;Mo O H;triclinic
Raygrantite;Pb2+10Zn2+(S6+O4)6(SiO4)2(OH)2;Pb Zn S O Si H;triclinic
Rayite;(Ag1+,Tl1+)2Pb2+8Sb3+8S2-21;Ag Tl Pb Sb S;
Realgar;AsS;As S;monoclinic
Reaphookhillite;MgZn2+2(PO4)2·4H2O;Mg Zn P O H;triclinic
Rebulite;Tl1+5Sb3+5As3+8S2-22;Tl Sb As S;monoclinic
Reckibachite;Ag1+2Pb2+12As3+14Sb3+4S2-40;Ag Pb As Sb S;monoclinic
Rectorite;(Na,Ca)Al4(Si,Al)8O20(OH)4·2H2O;Na Ca Al Si O H;
Redcanyonite;(N3-H4)2Mn2+[(U6+O2)4O4(S6+O4)2](H2O)4;N H Mn U O S;monoclinic
Reddingite;Mn2+3(PO4)2·3H2O;Mn P O H;orthorhombic
Redgillite;Cu2+6S6+O4(OH)10·H2O;Cu S O H;monoclinic
Redingtonite;Fe2+Cr3+2(S6+O4)4·22H2O;Fe Cr S O H;
Redledgeite;Ba(Ti4+6Cr3+2)O16;Ba Ti Cr O;tetragonal
Redmondite;[Pb2+8O2Zn2+(OH)6](S6+O3S2-)4;Pb O Zn H S;monoclinic
Redondite;AlPO4·2H2O;Al P O H;
Reederite-(Y);(Na,Mn2+)15Y2(CO3)9(S6+O3F)Cl;Na Mn Y C O S F Cl;hexagonal
Reedmergnerite;NaBSi3O8;Na B Si O;triclinic
Reevesite;Ni2+6Fe3+2(OH)16CO3·4H2O;Ni Fe O H C;hexagonal
Refikite;C20H34O2;C H O;orthorhombic
Regerite;KFe3+6(PO4)4(OH)7(H2O)6·4H2O;K Fe P O H;monoclinic
Reichenbachite;Cu2+5(PO4)2(OH)4;Cu P O H;monoclinic
Reidite;Zr4+SiO4;Zr Si O;tetragonal
Reinerite;Zn2+3(As3+O3)2;Zn As O;orthorhombic
Reinhardbraunsite;Ca5(SiO4)2(OH)2;Ca Si O H;monoclinic
Relianceite-(K);K4Mg(V4+O)2((C2)6+O4)(PO3OH)4(H2O)10;K Mg V O C P H;monoclinic
R?mondite-(Ce);Na3(Ce3+,Ca,Na)3(CO3)5;Na Ce Ca C O;orthorhombic
R?mondite-(La);Na3(La,Ca,Na)3(CO3)5;Na La Ca C O;monoclinic
Renardite;Pb2+(U6+O2)4(PO4)2(OH)4·7H2O;Pb U O P H;
Rengeite;Sr4Ti4+4Zr4+O8(Si2O7)2;Sr Ti Zr O Si;monoclinic
Renierite;(Cu1+,Cu2+,Zn2+)11(Fe2+,Fe3+)4(Ge4+,As5+)2S2-16;Cu Zn Fe Ge As S;tetragonal
Reppiaite;Mn2+5(V5+O4)2(OH)4;Mn V O H;monoclinic
Retgersite;Ni2+S6+O4·6H2O;Ni S O H;tetragonal
Retzian-(Ce);Mn2+2Ce3+As5+O4(OH)4;Mn Ce As O H;orthorhombic
Retzian-(La);Mn2+2LaAs5+O4(OH)4;Mn La As O H;orthorhombic
Retzian-(Nd);Mn2+2NdAs5+O4(OH)4;Mn Nd As O H;orthorhombic
Revdite;Na16Si16O27(OH)26·28H2O;Na Si O H;monoclinic
Rewitzerite;K(H2O)Mn2+2(Al2Ti4+)(PO4)4[O(OH)](H2O)10·4H2O;K H O Mn Al Ti P;monoclinic
Reyerite;Na2Ca14Al2Si22O58(OH)8·6H2O;Na Ca Al Si O H;hexagonal
Reynoldsite;Pb2+2Mn4+2O5(Cr6+O4);Pb Mn O Cr;triclinic
Reznitskyite;CaMg(V5+O4)F;Ca Mg V O F;monoclinic
Rhabdoborite-(Mo);Mg12Mo6+1.33O6(BO3)6F2;Mg Mo O B F;hexagonal
Rhabdoborite-(V);"Mg12(V5+,Mo6+,W6+)1.5O6{[BO3]6-x[(P,As5+)O4]xF2-x} (x &lt; 1)";Mg V Mo W O B P As F;hexagonal
Rhabdoborite-(W);"Mg12(W6+,V5+)1.5O6{[BO3]6-x[(P,As5+)O4]xF2-x} (x &lt; 1)";Mg W V O B P As F;hexagonal
Rhabdophane-(Ce);Ce3+PO4·H2O;Ce P O H;hexagonal
Rhabdophane-(La);LaPO4·H2O;La P O H;
Rhabdophane-(Nd);NdPO4·H2O;Nd P O H;
Rhabdophane-(Y);YPO4·H2O;Y P O H;hexagonal
Rheniite;ReS2;Re S;triclinic
Rhodarsenide;Rh2As;Rh As;orthorhombic
Rhodesite;K2Ca2Si8O19·5H2O;K H Ca Si O;orthorhombic
Rhodium;Rh;Rh;cubic
Rhodizite;KAl4Be5B11O28;K Be Al B O;cubic
Rhodochrosite;Mn2+CO3;Mn C O;hexagonal
Rhodonite;CaMn2+3Mn2+Si5O15;Ca Mn Si O;triclinic
Rhodostannite;Cu1+(Fe2+0.5Sn4+1.5)S2-4;Cu Fe Sn S;tetragonal
Rhodplumsite;Rh3Pb2S2;Rh Pb S;hexagonal
Rhomboclase;(H5O2)Fe3+(S6+O4)2·2H2O;H O Fe S;orthorhombic
Rh?nite;Ca4(Mg8Fe3+2Ti4+2)O4[Si6Al6O36];Ca Mg Fe Ti O Si Al;triclinic
Ribbeite;Mn2+5(SiO4)2(OH)2;Mn Si O H;orthorhombic
Richardsite;Zn2+2Cu1+Ga3+S2-4;Zn Cu Ga S;tetragonal
Richardsollyite;Tl1+Pb2+As3+S2-3;Tl Pb As S;monoclinic
Richellite;CaFe3+2(PO4)2(OH,F)2;Ca Fe P O H F;
Richelsdorfite;Ca2Cu2+5Sb5+(As5+O4)4(OH)6Cl·6H2O;Ca Cu Sb As O H Cl;monoclinic
Richetite;(Fe3+,Mg)xPb2+8.6(U6+O2)36O36(OH)24·41H2O;Fe Mg Pb U O H;triclinic
Richterite;Na(CaNa)Mg5Si8O22(OH)2;Na Ca Mg Si O H;monoclinic
Rickardite;Cu2.64-3.00Te2;Cu Te;tetragonal
Rickturnerite;Pb2+7O4[Mg(OH)4](OH)Cl3;Pb O Mg H Cl;orthorhombic
Riebeckite;[box]Na2(Fe2+3Fe3+2)Si8O22(OH)2;Na Fe Si O H;monoclinic
Riesite;Ti4+O2;Ti O;monoclinic
Rietveldite;Fe2+(U6+O2)(S6+O4)2(H2O)5;Fe U O S H;orthorhombic
Rilandite;Cr3+6SiO11·5H2O;Cr Si O H;
Rimkorolgite;BaMg5(PO4)4·8H2O;Ba Mg P O H;monoclinic
Ringwoodite;Mg2SiO4;Si Mg O;cubic
Rinkite-(Ce);Ca2(CaCe3+)Na(NaCa)Ti4+(Si2O7)2(OF)F2;Ca Ce Na Ti Si O F;monoclinic
Rinkite-(Y);Ca2(CaY)Na(NaCa)Ti4+(Si2O7)2(OF)F2;Ca Y Na Ti Si O F;monoclinic
Rinmanite;Zn2+Sb5+(Fe3+2Mg)O7(OH);Zn Sb Fe Mg O H;hexagonal
Rinneite;K3NaFe2+Cl6;K Na Fe Cl;hexagonal
Riomarinaite;Bi3+S6+O4(OH)·H2O;Bi S O H;monoclinic
R?osecoite;Ca2Mg(As5+O3OH)3(H2O)2;Ca Mg As O H;triclinic
Riotintoite;Al(S6+O4)(OH)·3H2O;Al S O H;triclinic
Rippite;K2(Nb5+,Ti4+)2(Si4O12)O(O,F);K Nb Ti Si O F;tetragonal
Rittmannite;(Mn2+,Ca)Mn2+(Fe2+,Mn2+,Mg)2(Al,Fe3+)2(PO4)4(OH)2·8H2O;Mn Ca Fe Mg Al P O H;monoclinic
Rivadavite;Na6Mg[B6O7(OH)6]4·10H2O;Na Mg B O H;monoclinic
Riversideite;Ca5Si6O16(OH)2·2H2O;Ca Si O H;
Roaldite;(Fe,Ni)4N;Fe Ni N;cubic
Robertsite;Ca2Mn3+3O2(PO4)3·3H2O;Ca Mn O P H;monoclinic
Robinsonite;Pb2+4Sb3+6S2-13;Pb Sb S;monoclinic
Rockbridgeite;(Fe2+0.5Fe3+0.5)2Fe3+3(PO4)3(OH)5;Fe P O H;orthorhombic
Rodalquilarite;H3Fe3+2(Te4+O3)4Cl;H Fe Te O Cl;triclinic
Rodolicoite;Fe3+PO4;Fe P O;hexagonal
Roeblingite;Pb2+2Ca6Mn2+(Si3O9)2(S6+O4)2(OH)2·4H2O;Ca Mn Pb Si O S H;monoclinic
Roedderite;KNaMg2(Mg3Si12)O30;K Na Mg Si O;hexagonal
Rogermitchellite;Na6Sr12Ba2Zr4+13Si39B6O123(OH)14·10H2O;Na Sr Ba Zr Si B O H;hexagonal
Roggianite;"Ca2BeAl2Si4O13(OH)2·nH2O (n &lt; 2.5)";Ca Be Al Si O H;tetragonal
Rohaite;(Tl,Pb,K)2Cu8.7Sb2S4;Tl Pb K Cu Sb S;orthorhombic|tetragonal
Rok?hnite;Fe2+Cl2·2H2O;Fe Cl H O;monoclinic
Rollandite;Cu2+3(As5+O4)2·4H2O;Cu As O H;orthorhombic
Roman?chite;(Ba,H2O)2(Mn4+,Mn3+)5O10;Ba H O Mn;monoclinic
Romanorlovite;K11Cu2+9Cl25(OH)4·2H2O;K Cu Cl O H;tetragonal
Romarchite;Sn2+O;Sn O;tetragonal
R?merite;Fe2+Fe3+2(S6+O4)4·14H2O;Fe S O H;triclinic
Rondorfite;Ca8Mg(SiO4)4Cl2;Ca Mg Si O Cl;cubic|triclinic
